Ticker,Year,EPS,End
TEL,2007,-1.11,2007-09-28
HOLX,2007,0.88,2007-09-29
AAPL,2007,4.04,2007-09-29
EMR,2007,2.69,2007-09-30
BDX,2007,3.63,2007-09-30
APD,2007,4.79,2007-09-30
COR,2007,1.27,2007-09-30
SBUX,2007,0.9,2007-09-30
QCOM,2007,1.99,2007-09-30
BEN,2007,7.11,2007-09-30
ROK,2007,9.37,2007-09-30
AMAT,2007,1.22,2007-10-28
A,2007,1.62,2007-10-31
DE,2007,4.05,2007-10-31
HPQ,2007,2.76,2007-10-31
ADI,2007,1.54,2007-11-03
CCL,2007,3.04,2007-11-30
ADBE,2007,1.24,2007-11-30
GS,2007,26.34,2007-11-30
MS,2007,2.97,2007-11-30
CSX,2007,3.11,2007-12-28
JCI,2007,0.08,2007-12-28
MAR,2007,1.83,2007-12-28
CVS,2007,1.97,2007-12-29
GRMN,2007,3.95,2007-12-29
PEP,2007,3.48,2007-12-29
INTC,2007,1.2,2007-12-29
FSLR,2007,2.12,2007-12-29
YUM,2007,1.74,2007-12-29
JNJ,2007,3.67,2007-12-30
TAP,2007,2.75,2007-12-30
COP,2007,7.32,2007-12-31
SHW,2007,4.84,2007-12-31
COF,2007,4.02,2007-12-31
TT,2007,13.64,2007-12-31
DVN,2007,8.08,2007-12-31
CAT,2007,5.55,2007-12-31
SPG,2007,1.96,2007-12-31
TMO,2007,1.77,2007-12-31
DVA,2007,3.61,2007-12-31
CNP,2007,1.23,2007-12-31
CF,2007,6.7,2007-12-31
TXN,2007,1.87,2007-12-31
SO,2007,2.29,2007-12-31
DHR,2007,4.4,2007-12-31
TRV,2007,7.0,2007-12-31
LUV,2007,0.85,2007-12-31
CVX,2007,8.83,2007-12-31
CB,2007,7.7,2007-12-31
CMI,2007,3.72,2007-12-31
C,2007,0.68,2007-12-31
CTRA,2007,1.73,2007-12-31
STT,2007,3.49,2007-12-31
CME,2007,15.05,2007-12-31
KO,2007,2.59,2007-12-31
CTSH,2007,1.22,2007-12-31
CL,2007,3.35,2007-12-31
STLD,2007,2.12,2007-12-31
SYK,2007,2.48,2007-12-31
GLW,2007,1.37,2007-12-31
CMCSA,2007,0.84,2007-12-31
SCHW,2007,1.98,2007-12-31
CHRW,2007,1.9,2007-12-31
MMM,2007,5.7,2007-12-31
BXP,2007,10.98,2007-12-31
AMGN,2007,2.76,2007-12-31
WM,2007,2.25,2007-12-31
AME,2007,2.15,2007-12-31
AMP,2007,3.45,2007-12-31
WAT,2007,2.67,2007-12-31
WEC,2007,2.87,2007-12-31
AMT,2007,0.14,2007-12-31
WFC,2007,2.41,2007-12-31
AXP,2007,3.4,2007-12-31
AEP,2007,2.73,2007-12-31
AMZN,2007,1.15,2007-12-31
MO,2007,4.64,2007-12-31
ALL,2007,7.8,2007-12-31
WMB,2007,1.66,2007-12-31
AKAM,2007,0.62,2007-12-31
XEL,2007,1.38,2007-12-31
AFL,2007,3.35,2007-12-31
AES,2007,-0.14,2007-12-31
ZBH,2007,3.28,2007-12-31
WBD,2007,-0.24,2007-12-31
APH,2007,1.98,2007-12-31
AON,2007,2.83,2007-12-31
GWW,2007,5.01,2007-12-31
USB,2007,2.45,2007-12-31
BMY,2007,1.09,2007-12-31
BSX,2007,-0.33,2007-12-31
UNP,2007,3.49,2007-12-31
BA,2007,5.38,2007-12-31
D,2007,3.9,2007-12-31
BK,2007,2.19,2007-12-31
UPS,2007,0.36,2007-12-31
BIIB,2007,2.02,2007-12-31
TFC,2007,3.17,2007-12-31
UNH,2007,3.55,2007-12-31
BAC,2007,3.32,2007-12-31
VLO,2007,9.24,2007-12-31
VTR,2007,2.23,2007-12-31
AVB,2007,4.43,2007-12-31
VRSN,2007,-0.63,2007-12-31
VZ,2007,1.91,2007-12-31
T,2007,1.95,2007-12-31
AIZ,2007,5.45,2007-12-31
VMC,2007,4.65,2007-12-31
BAX,2007,2.65,2007-12-31
SLB,2007,4.36,2007-12-31
EBAY,2007,0.26,2007-12-31
DOC,2007,2.72,2007-12-31
NRG,2007,2.16,2007-12-31
NUE,2007,4.96,2007-12-31
IVZ,2007,1.68,2007-12-31
ISRG,2007,3.82,2007-12-31
IP,2007,2.72,2007-12-31
OXY,2007,6.45,2007-12-31
OMC,2007,2.95,2007-12-31
ITW,2007,3.39,2007-12-31
IBM,2007,7.27,2007-12-31
OKE,2007,2.84,2007-12-31
HUM,2007,5.0,2007-12-31
PCAR,2007,3.31,2007-12-31
HWM,2007,2.95,2007-12-31
HST,2007,1.33,2007-12-31
HON,2007,3.2,2007-12-31
DOV,2007,3.28,2007-12-31
PFE,2007,1.18,2007-12-31
HIG,2007,9.32,2007-12-31
PCG,2007,2.79,2007-12-31
NOC,2007,5.24,2007-12-31
HAL,2007,3.79,2007-12-31
J,2007,0.82,2007-12-31
JPM,2007,4.38,2007-12-31
MET,2007,5.62,2007-12-31
MSFT,2007,0.5,2007-12-31
MRK,2007,1.51,2007-12-31
MCD,2007,2.02,2007-12-31
MDLZ,2007,1.71,2007-12-31
MA,2007,7.98,2007-12-31
MAS,2007,1.02,2007-12-31
MRSH,2007,4.49,2007-12-31
